NP_006752.1	NM_006761.4	1433E_HUMAN	P62258-1
NP_001309293.1	NM_001322364.1	HXK1_HUMAN	P19367-3
NP_277032.1	NM_033497.2	HXK1_HUMAN	P19367-3
NP_277033.1	NM_033498.2	HXK1_HUMAN	P19367-3
NP_277031.1	NM_033496.2	HXK1_HUMAN	P19367-2
NP_277035.2	NM_033500.2	HXK1_HUMAN	P19367-4
XP_011538034.1	XM_011539732.1	HXK1_HUMAN	P19367-4
NP_036401.2	NM_012269.2	HYAL4_HUMAN	Q2M3T9-1
XP_011514292.1	XM_011515990.2	HYAL4_HUMAN	Q2M3T9-1
XP_016867400.1	XM_017011911.1	HYAL4_HUMAN	Q2M3T9-1
NP_001177809.1	NM_001190880.2	HYI_HUMAN	Q5T013-1
NP_001230455.1	NM_001243526.1	HYI_HUMAN	Q5T013-1
NP_112484.3	NM_031207.5	HYI_HUMAN	Q5T013-3
NP_001245145.1	NM_001258216.1	I12R2_HUMAN	Q99665-1
NP_001550.1	NM_001559.2	I12R2_HUMAN	Q99665-1
XP_005270882.1	XM_005270825.2	I12R2_HUMAN	Q99665-1
XP_005270884.1	XM_005270827.2	I12R2_HUMAN	Q99665-1
XP_005270885.1	XM_005270828.3	I12R2_HUMAN	Q99665-1
XP_011539685.1	XM_011541383.2	I12R2_HUMAN	Q99665-1
NP_001245144.1	NM_001258215.1	I12R2_HUMAN	Q99665-3
XP_006710680.1	XM_006710617.2	I12R2_HUMAN	Q99665-3
NP_001245143.1	NM_001258214.1	I12R2_HUMAN	Q99665-2
NP_001306162.1	NM_001319233.1	I12R2_HUMAN	Q99665-2
XP_016856692.1	XM_017001203.1	I12R2_HUMAN	Q99665-2
NP_000631.1	NM_000640.2	I13R2_HUMAN	Q14627-1
NP_114425.1	NM_032036.2	I27L2_HUMAN	Q9H2X8-1
NP_001092878.1	NM_001099408.1	I4E1B_HUMAN	A6NMX2-1
XP_011532801.1	XM_011534499.2	I4E1B_HUMAN	A6NMX2-1
NP_001307971.1	NM_001321042.1	I5P1_HUMAN	Q14642-1
NP_005530.3	NM_005539.4	I5P1_HUMAN	Q14642-1
NP_001284363.1	NM_001297434.1	I5P2_HUMAN	P32019-3
NP_005531.2	NM_005540.2	I5P2_HUMAN	P32019-2
NP_001135974.1	NM_001142502.1	IASPP_HUMAN	Q8WUF5-1
NP_006654.2	NM_006663.3	IASPP_HUMAN	Q8WUF5-1
XP_016881666.1	XM_017026177.1	IASPP_HUMAN	Q8WUF5-1
XP_016881667.1	XM_017026178.1	IASPP_HUMAN	Q8WUF5-1
NP_001290194.1	NM_001303265.1	ICT1_HUMAN	Q14197-1
NP_001536.1	NM_001545.2	ICT1_HUMAN	Q14197-1
NP_001073985.1	NM_001080516.1	GRCR2_HUMAN	A6NFK2-1
NP_036335.1	NM_012203.1	GRHPR_HUMAN	Q9UBQ7-1
NP_000820.3	NM_000829.3	GRIA4_HUMAN	P48058-1
NP_001070711.2	NM_001077243.2	GRIA4_HUMAN	P48058-1
XP_006718886.1	XM_006718823.1	GRIA4_HUMAN	P48058-1
NP_001070712.1	NM_001077244.1	GRIA4_HUMAN	P48058-2
NP_001106283.1	NM_001112812.1	GRIA4_HUMAN	P48058-2
NP_001501.2	NM_001510.3	GRID2_HUMAN	O43424-1
NP_001273767.1	NM_001286838.1	GRID2_HUMAN	O43424-2
NP_000830.2	NM_000839.3	GRM2_HUMAN	Q14416-1
XP_016861760.1	XM_017006271.1	GRM2_HUMAN	Q14416-1
NP_001137303.1	NM_001143831.2	GRM5_HUMAN	P41594-1
XP_006718891.1	XM_006718828.3	GRM5_HUMAN	P41594-1
XP_011541094.1	XM_011542792.1	GRM5_HUMAN	P41594-1
NP_000833.1	NM_000842.4	GRM5_HUMAN	P41594-2
XP_016873116.1	XM_017017627.1	GRM5_HUMAN	P41594-2
NP_000835.1	NM_000844.3	GRM7_HUMAN	Q14831-1
NP_870989.1	NM_181874.2	GRM7_HUMAN	Q14831-2
NP_001257325.1	NM_001270396.1	GRPL2_HUMAN	Q4G1C9-1
NP_689649.1	NM_152436.2	GRPL2_HUMAN	Q4G1C9-2
XP_011536251.1	XM_011537949.2	GRPL2_HUMAN	Q4G1C9-5
XP_011536252.1	XM_011537950.2	GRPL2_HUMAN	Q4G1C9-5
XP_016874338.1	XM_017018849.1	GRPL2_HUMAN	Q4G1C9-5
NP_059135.2	NM_017439.3	GSAP_HUMAN	A4D1B5-1
NP_001258833.1	NM_001271904.1	GSKIP_HUMAN	Q9P0R6-1
NP_001258834.1	NM_001271905.1	GSKIP_HUMAN	Q9P0R6-1
NP_001258835.1	NM_001271906.1	GSKIP_HUMAN	Q9P0R6-1
NP_057556.2	NM_016472.4	GSKIP_HUMAN	Q9P0R6-1
XP_016876854.1	XM_017021365.1	GSKIP_HUMAN	Q9P0R6-1
NP_663632.1	NM_145657.2	GSX1_HUMAN	Q9H4S2-1
NP_001003795.1	NM_001003795.2	GTD2B_HUMAN	Q6EKJ0-1
NP_036359.3	NM_012227.3	GTPB6_HUMAN	O43824-1
NP_789761.1	NM_176791.3	GTSFL_HUMAN	Q9H1H1-1
NP_001008901.1	NM_001008901.1	GTSFL_HUMAN	Q9H1H1-2
NP_005450.3	NM_005459.3	GUC1C_HUMAN	O95843-1
NP_068746.2	NM_021927.2	GUF1_HUMAN	Q8N442-1
NP_068776.2	NM_021957.3	GYS2_HUMAN	P54840-1
NP_001303941.1	NM_001317012.1	GZF1_HUMAN	Q9H116-1
NP_001303948.1	NM_001317019.1	GZF1_HUMAN	Q9H116-1
NP_071927.1	NM_022482.4	GZF1_HUMAN	Q9H116-1
XP_011527623.1	XM_011529321.2	GZF1_HUMAN	Q9H116-1
XP_011527624.1	XM_011529322.1	GZF1_HUMAN	Q9H116-1
NP_005311.1	NM_005320.2	H13_HUMAN	P16402-1
NP_003716.2	NM_003725.3	H17B6_HUMAN	O14756-1
XP_005269264.1	XM_005269207.1	H17B6_HUMAN	O14756-1
XP_005269265.1	XM_005269208.1	H17B6_HUMAN	O14756-1
XP_005269266.1	XM_005269209.1	H17B6_HUMAN	O14756-1
XP_006719735.1	XM_006719672.1	H17B6_HUMAN	O14756-1
XP_011537227.1	XM_011538925.1	H17B6_HUMAN	O14756-1
XP_011537228.1	XM_011538926.1	H17B6_HUMAN	O14756-1
XP_011537229.1	XM_011538927.1	H17B6_HUMAN	O14756-1
NP_001010915.2	NM_001010915.4	HACD4_HUMAN	Q5VWC8-1
NP_001308812.1	NM_001321883.1	HACD4_HUMAN	Q5VWC8-1
NP_001308009.1	NM_001321080.1	HACE1_HUMAN	Q8IYU2-1
NP_001308012.1	NM_001321083.1	HACE1_HUMAN	Q8IYU2-1
NP_001308013.1	NM_001321084.1	HACE1_HUMAN	Q8IYU2-1
NP_065822.2	NM_020771.3	HACE1_HUMAN	Q8IYU2-1
NP_079090.2	NM_024814.3	HAKAI_HUMAN	Q75N03-1
NP_001271220.1	NM_001284291.1	HAKAI_HUMAN	Q75N03-2
NP_060567.1	NM_018097.2	HAUS2_HUMAN	Q9NVX0-1
NP_001123919.1	NM_001130447.1	HAUS2_HUMAN	Q9NVX0-3
NP_001310560.1	NM_001323631.1	HAUS2_HUMAN	Q9NVX0-2
NP_001310561.1	NM_001323632.1	HAUS2_HUMAN	Q9NVX0-2
XP_016877885.1	XM_017022396.1	HAUS2_HUMAN	Q9NVX0-2
XP_016877886.1	XM_017022397.1	HAUS2_HUMAN	Q9NVX0-2
NP_056117.1	NM_015302.1	HAUS5_HUMAN	O94927-1
NP_057147.2	NM_016063.2	HDDC2_HUMAN	Q7Z4H3-1
NP_001170950.1	NM_001177479.1	HDX_HUMAN	Q7Z353-1
NP_653258.2	NM_144657.4	HDX_HUMAN	Q7Z353-1
XP_011529165.1	XM_011530863.2	HDX_HUMAN	Q7Z353-1
XP_011529166.1	XM_011530864.1	HDX_HUMAN	Q7Z353-1
XP_016884763.1	XM_017029274.1	HDX_HUMAN	Q7Z353-1
NP_001170949.1	NM_001177478.1	HDX_HUMAN	Q7Z353-2
XP_006724682.1	XM_006724619.1	HDX_HUMAN	Q7Z353-2
NP_002102.4	NM_002111.8	HD_HUMAN	P42858-1
NP_055867.3	NM_015052.4	HECW1_HUMAN	Q76N89-1
XP_016867375.1	XM_017011886.1	HECW1_HUMAN	Q76N89-1
NP_001273988.1	NM_001287059.1	HECW1_HUMAN	Q76N89-2
XP_016867378.1	XM_017011889.1	HECW1_HUMAN	Q76N89-2
NP_061115.2	NM_018645.5	HES6_HUMAN	Q96HZ4-1
NP_001136325.1	NM_001142853.2	HES6_HUMAN	Q96HZ4-3
NP_001269363.1	NM_001282434.1	HES6_HUMAN	Q96HZ4-4
NP_002720.1	NM_002729.4	HHEX_HUMAN	Q03014-1
NP_085133.1	NM_030630.2	HID1_HUMAN	Q8IV36-1
XP_005257283.1	XM_005257226.1	HID1_HUMAN	Q8IV36-2
NP_001521.1	NM_001530.3	HIF1A_HUMAN	Q16665-1
NP_001230013.1	NM_001243084.1	HIF1A_HUMAN	Q16665-3
NP_851397.1	NM_181054.2	HIF1A_HUMAN	Q16665-2
NP_005507.3	NM_005516.5	HLAE_HUMAN	P13747-1
NP_001092256.1	NM_001098786.1	HLPDA_HUMAN	Q9Y5L2-1
NP_037464.1	NM_013332.3	HLPDA_HUMAN	Q9Y5L2-1
NP_001305863.1	NM_001318934.1	HLTF_HUMAN	Q14527-1
NP_001305864.1	NM_001318935.1	HLTF_HUMAN	Q14527-1
NP_003062.2	NM_003071.3	HLTF_HUMAN	Q14527-1
NP_620636.1	NM_139048.2	HLTF_HUMAN	Q14527-1
XP_016862568.1	XM_017007079.1	HLTF_HUMAN	Q14527-1
NP_006330.2	NM_006339.2	HM20B_HUMAN	Q9P0W2-1
NP_001177401.1	NM_001190472.1	HMN3_HUMAN	P0CJ70-1
NP_001177418.1	NM_001190489.1	HMN7_HUMAN	P0CJ74-1
NP_001116838.1	NM_001123366.1	HMSD_HUMAN	A8MTL9-1
NP_001293071.1	NM_001306142.1	HMX1_HUMAN	Q9NP08-1
NP_061815.2	NM_018942.2	HMX1_HUMAN	Q9NP08-1
NP_000449.1	NM_000458.3	HNF1B_HUMAN	P35680-1
NP_001291215.1	NM_001304286.1	HNF1B_HUMAN	P35680-1
NP_001159395.1	NM_001165923.3	HNF1B_HUMAN	P35680-2
NP_004263.1	NM_004272.4	HOME1_HUMAN	Q86YM7-1
NP_001264007.1	NM_001277078.1	HOME1_HUMAN	Q86YM7-3
NP_001264006.1	NM_001277077.1	HOME1_HUMAN	Q86YM7-2
NP_001139194.1	NM_001145722.1	HOME3_HUMAN	Q9NSC5-1
NP_004829.3	NM_004838.3	HOME3_HUMAN	Q9NSC5-1
XP_006723006.1	XM_006722943.1	HOME3_HUMAN	Q9NSC5-1
XP_006723007.1	XM_006722944.1	HOME3_HUMAN	Q9NSC5-1
NP_001139193.1	NM_001145721.1	HOME3_HUMAN	Q9NSC5-2
NP_001139196.1	NM_001145724.1	HOME3_HUMAN	Q9NSC5-5
NP_065885.2	NM_020834.2	HOMEZ_HUMAN	Q8IX15-1
NP_001316386.1	NM_001329457.1	HORM2_HUMAN	Q8N7B1-1
NP_001316387.1	NM_001329458.1	HORM2_HUMAN	Q8N7B1-1
NP_689723.1	NM_152510.3	HORM2_HUMAN	Q8N7B1-1
XP_011528219.1	XM_011529917.2	HORM2_HUMAN	Q8N7B1-1
NP_057371.2	NM_016287.3	HP1B3_HUMAN	Q5SSJ5-1
XP_005245932.1	XM_005245875.4	HP1B3_HUMAN	Q5SSJ5-1
XP_005245933.1	XM_005245876.3	HP1B3_HUMAN	Q5SSJ5-1
XP_005245934.1	XM_005245877.4	HP1B3_HUMAN	Q5SSJ5-1
XP_005245935.1	XM_005245878.4	HP1B3_HUMAN	Q5SSJ5-1
XP_016856882.1	XM_017001393.1	HP1B3_HUMAN	Q5SSJ5-1
XP_005245936.1	XM_005245879.4	HP1B3_HUMAN	Q5SSJ5-2
XP_011539834.1	XM_011541532.1	HP1B3_HUMAN	Q5SSJ5-2
XP_011539835.1	XM_011541533.1	HP1B3_HUMAN	Q5SSJ5-2
XP_011539836.1	XM_011541534.2	HP1B3_HUMAN	Q5SSJ5-2
XP_016856883.1	XM_017001394.1	HP1B3_HUMAN	Q5SSJ5-2
NP_001092142.1	NM_001098672.1	HPHL1_HUMAN	Q6MZM0-1
NP_001875.1	NM_001884.3	HPLN1_HUMAN	P10915-1
XP_011541470.1	XM_011543168.2	HPLN1_HUMAN	P10915-1
XP_016864540.1	XM_017009051.1	HPLN1_HUMAN	P10915-1
XP_016864541.1	XM_017009052.1	HPLN1_HUMAN	P10915-1
NP_068589.1	NM_021817.2	HPLN2_HUMAN	Q9GZV7-1
XP_005245472.1	XM_005245415.2	HPLN2_HUMAN	Q9GZV7-1
XP_011508155.1	XM_011509853.2	HPLN2_HUMAN	Q9GZV7-1
XP_016857509.1	XM_017002020.1	HPLN2_HUMAN	Q9GZV7-1
NP_075378.1	NM_023002.2	HPLN4_HUMAN	Q86UW8-1
NP_068600.4	NM_021828.4	HPSE2_HUMAN	Q8WWQ2-1
NP_001159716.1	NM_001166244.1	HPSE2_HUMAN	Q8WWQ2-3
NP_001159718.1	NM_001166246.1	HPSE2_HUMAN	Q8WWQ2-2
NP_001159717.1	NM_001166245.1	HPSE2_HUMAN	Q8WWQ2-4
NP_001305067.1	NM_001318138.1	HPT_HUMAN	P00738-1
NP_005134.1	NM_005143.4	HPT_HUMAN	P00738-1
NP_001119574.1	NM_001126102.2	HPT_HUMAN	P00738-2
NP_060510.1	NM_018040.4	GPTC2_HUMAN	Q9NW75-1
NP_001284683.1	NM_001297754.2	GPTC2_HUMAN	Q9NW75-2
NP_001373.2	NM_001382.3	GPT_HUMAN	Q9H3H5-1
XP_016872782.1	XM_017017293.1	GPT_HUMAN	Q9H3H5-3
NP_002074.2	NM_002083.3	GPX2_HUMAN	P18283-1
NP_055939.1	NM_015124.4	GRAM4_HUMAN	Q6IC98-1
XP_006724233.1	XM_006724170.3	GRAM4_HUMAN	Q6IC98-1
XP_016884159.1	XM_017028670.1	GRAM4_HUMAN	Q6IC98-1
NP_001278753.1	NM_001291824.1	GRAP2_HUMAN	O75791-1
NP_001278754.1	NM_001291825.1	GRAP2_HUMAN	O75791-1
NP_004801.1	NM_004810.3	GRAP2_HUMAN	O75791-1
NP_001278757.1	NM_001291828.1	GRAP2_HUMAN	O75791-2
NP_004481.2	NM_004490.2	GRB14_HUMAN	Q14449-1
NP_001290351.1	NM_001303422.1	GRB14_HUMAN	Q14449-2
NP_937825.2	NM_198182.2	GRHL1_HUMAN	Q9NZI5-1
XP_005246216.1	XM_005246159.3	GRHL1_HUMAN	Q9NZI5-2
NP_001171545.1	NM_001178074.1	GRIP1_HUMAN	Q9Y3R0-1
XP_011536395.1	XM_011538093.2	GRIP1_HUMAN	Q9Y3R0-1
NP_066973.2	NM_021150.3	GRIP1_HUMAN	Q9Y3R0-3
NP_001012660.1	NM_001012642.2	GRM2A_HUMAN	Q8IUY3-1
NP_001092140.1	NM_001098670.1	GRP2_HUMAN	Q7LDG7-1
NP_001092141.1	NM_001098671.1	GRP2_HUMAN	Q7LDG7-1
NP_001305327.1	NM_001318398.1	GRP2_HUMAN	Q7LDG7-1
NP_722541.1	NM_153819.1	GRP2_HUMAN	Q7LDG7-1
XP_011543022.1	XM_011544720.1	GRP2_HUMAN	Q7LDG7-4
XP_011543023.1	XM_011544721.1	GRP2_HUMAN	Q7LDG7-4
XP_011543024.1	XM_011544722.1	GRP2_HUMAN	Q7LDG7-4
XP_011543025.1	XM_011544723.2	GRP2_HUMAN	Q7LDG7-4
XP_016872573.1	XM_017017084.1	GRP2_HUMAN	Q7LDG7-4
NP_689620.2	NM_152407.3	GRPE2_HUMAN	Q8TAA5-1
NP_000844.2	NM_000853.3	GSTT1_HUMAN	P30711-1
NP_001280736.1	NM_001293807.1	GSTT1_HUMAN	P30711-1
NP_001280737.1	NM_001293808.1	GSTT1_HUMAN	P30711-2
NP_001280738.1	NM_001293809.1	GSTT1_HUMAN	P30711-2
NP_001280739.1	NM_001293810.1	GSTT1_HUMAN	P30711-2
NP_001280740.1	NM_001293811.1	GSTT1_HUMAN	P30711-2
NP_001280741.1	NM_001293812.1	GSTT1_HUMAN	P30711-2
NP_116009.2	NM_032620.3	GTPB3_HUMAN	Q969Y2-1
NP_001122327.1	NM_001128855.2	GTPB3_HUMAN	Q969Y2-3
NP_598399.2	NM_133644.3	GTPB3_HUMAN	Q969Y2-2
NP_001182351.1	NM_001195422.1	GTPB3_HUMAN	Q969Y2-4
NP_054889.2	NM_014170.2	GTPB8_HUMAN	Q8N3Z3-1
NP_612494.1	NM_138485.1	GTPB8_HUMAN	Q8N3Z3-2
NP_149098.2	NM_033107.3	GTPBA_HUMAN	A4D1E9-1
NP_001036182.1	NM_001042717.2	GTPBA_HUMAN	A4D1E9-2
NP_060055.2	NM_017585.3	GTR6_HUMAN	Q9UGQ3-1
NP_001138571.1	NM_001145099.1	GTR6_HUMAN	Q9UGQ3-2
NP_064425.2	NM_020041.2	GTR9_HUMAN	Q9NRM0-1
NP_001001290.1	NM_001001290.1	GTR9_HUMAN	Q9NRM0-2
NP_003866.1	NM_003875.2	GUAA_HUMAN	P49915-1
NP_001229669.1	NM_001242740.1	GVQW2_HUMAN	A0A096LPI5-1
NP_775872.1	NM_173601.1	GXLT1_HUMAN	Q4G148-1
NP_001093120.1	NM_001099650.1	GXLT1_HUMAN	Q4G148-2
NP_005310.1	NM_005319.3	H12_HUMAN	P16403-1
NP_003503.1	NM_003512.3	H2A1C_HUMAN	Q93077-1
NP_542163.1	NM_080596.2	H2A1H_HUMAN	Q96KK5-1
NP_778235.1	NM_175065.2	H2A2B_HUMAN	Q8IUE6-1
NP_733759.1	NM_170610.2	H2B1A_HUMAN	Q96A08-1
NP_003509.1	NM_003518.3	H2B1C_HUMAN	P62807-1
NP_003513.1	NM_003522.3	H2B1C_HUMAN	P62807-1
NP_003514.2	NM_003523.2	H2B1C_HUMAN	P62807-1
NP_003516.1	NM_003525.2	H2B1C_HUMAN	P62807-1
NP_003517.2	NM_003526.2	H2B1C_HUMAN	P62807-1
NP_066407.1	NM_021063.3	H2B1C_HUMAN	P62807-1
NP_003515.1	NM_003524.2	H2B1H_HUMAN	Q93079-1
NP_003518.2	NM_003527.4	H2B1O_HUMAN	P23527-1
NP_001019770.1	NM_001024599.4	H2B2F_HUMAN	Q5QNW6-1
NP_001154806.1	NM_001161334.1	H2B2F_HUMAN	Q5QNW6-2
NP_778225.1	NM_175055.2	H2B3B_HUMAN	Q8N257-1
XP_006723981.1	XM_006723918.3	H2BFS_HUMAN	P57053-1
NP_068808.1	NM_021973.2	HAND2_HUMAN	P61296-1
NP_001159741.1	NM_001166269.1	HAUS4_HUMAN	Q9H6D7-1
NP_060285.2	NM_017815.2	HAUS4_HUMAN	Q9H6D7-1
NP_001159742.1	NM_001166270.1	HAUS4_HUMAN	Q9H6D7-4
NP_219485.1	NM_033417.1	HAUS8_HUMAN	Q9BT25-1
NP_001011699.1	NM_001011699.1	HAUS8_HUMAN	Q9BT25-3
NP_001166864.1	NM_001173393.2	HAVR1_HUMAN	Q96D42-1
NP_001295085.1	NM_001308156.1	HAVR1_HUMAN	Q96D42-1
NP_036338.2	NM_012206.3	HAVR1_HUMAN	Q96D42-1
NP_004484.1	NM_004493.2	HCD2_HUMAN	Q99714-1
NP_001032900.1	NM_001037811.2	HCD2_HUMAN	Q99714-2
NP_065948.1	NM_020897.2	HCN3_HUMAN	Q9P1Z3-1
NP_005468.1	NM_005477.2	HCN4_HUMAN	Q9Y3Q4-1
NP_001017991.1	NM_001017991.2	H2AB2_HUMAN	P0C5Z0-1
NP_542451.1	NM_080720.1	H2AB2_HUMAN	P0C5Z0-1
NP_613258.2	NM_138610.2	H2AY_HUMAN	O75367-1
XP_011542031.1	XM_011543729.2	H2AY_HUMAN	O75367-1
NP_001035248.1	NM_001040158.1	H2AY_HUMAN	O75367-3
NP_004884.1	NM_004893.2	H2AY_HUMAN	O75367-3
XP_011542032.1	XM_011543730.2	H2AY_HUMAN	O75367-3
NP_613075.1	NM_138609.2	H2AY_HUMAN	O75367-2
NP_001299582.1	NM_001312653.1	H2B1K_HUMAN	O60814-1
NP_542160.1	NM_080593.2	H2B1K_HUMAN	O60814-1
NP_003511.1	NM_003520.3	H2B1N_HUMAN	Q99877-1
NP_055706.1	NM_014891.6	HAP28_HUMAN	Q13442-1
NP_116171.3	NM_032782.4	HAVR2_HUMAN	Q8TDQ0-1
NP_001003938.1	NM_001003938.3	HBM_HUMAN	Q6B0K9-1
NP_006611.1	NM_006620.3	HBS1L_HUMAN	Q9Y450-1
NP_001138679.1	NM_001145207.1	HBS1L_HUMAN	Q9Y450-2
NP_001138630.1	NM_001145158.1	HBS1L_HUMAN	Q9Y450-4
NP_079103.2	NM_024827.3	HDA11_HUMAN	Q96DB2-1
XP_011532437.1	XM_011534135.1	HDA11_HUMAN	Q96DB2-1
NP_001129513.1	NM_001136041.2	HDA11_HUMAN	Q96DB2-2
NP_001306115.1	NM_001319186.1	HDGF_HUMAN	P51858-1
NP_001306116.1	NM_001319187.1	HDGF_HUMAN	P51858-1
NP_001306117.1	NM_001319188.1	HDGF_HUMAN	P51858-1
NP_004485.1	NM_004494.2	HDGF_HUMAN	P51858-1
NP_001119522.1	NM_001126050.1	HDGF_HUMAN	P51858-3
NP_001119523.1	NM_001126051.1	HDGF_HUMAN	P51858-2
NP_689994.2	NM_152781.3	HEAT9_HUMAN	A2RTY3-1
NP_001308324.1	NM_001321395.1	HEAT9_HUMAN	A2RTY3-3
NP_065811.1	NM_020760.2	HECW2_HUMAN	Q9P2P5-1
XP_016860052.1	XM_017004563.1	HECW2_HUMAN	Q9P2P5-1
NP_065784.1	NM_020733.1	HEG1_HUMAN	Q9ULI3-1
NP_000511.2	NM_000520.5	HEXA_HUMAN	P06865-1
NP_001305754.1	NM_001318825.1	HEXA_HUMAN	P06865-1
NP_000512.1	NM_000521.3	HEXB_HUMAN	P07686-1
NP_001278933.1	NM_001292004.1	HEXB_HUMAN	P07686-1
NP_006451.1	NM_006460.2	HEXI1_HUMAN	O94992-1
NP_001284368.1	NM_001297439.1	HGFA_HUMAN	Q04756-1
NP_001519.1	NM_001528.3	HGFA_HUMAN	Q04756-1
NP_004703.1	NM_004712.4	HGS_HUMAN	O14964-1
NP_065758.3	NM_020707.3	HHATL_HUMAN	Q9HCP6-1
XP_006713337.1	XM_006713274.2	HHATL_HUMAN	Q9HCP6-1
XP_016862425.1	XM_017006936.1	HHATL_HUMAN	Q9HCP6-1
NP_001129954.1	NM_001136482.1	HIDE1_HUMAN	A8MVS5-1
XP_005259903.1	XM_005259846.4	HIDE1_HUMAN	A8MVS5-1
XP_005259904.1	XM_005259847.4	HIDE1_HUMAN	A8MVS5-1
NP_060372.2	NM_017902.2	HIF1N_HUMAN	Q9NWT6-1
NP_001093139.1	NM_001099669.1	HIG1A_HUMAN	Q9Y241-1
NP_054775.2	NM_014056.3	HIG1A_HUMAN	Q9Y241-1
NP_001093138.1	NM_001099668.1	HIG1A_HUMAN	Q9Y241-2
NP_005329.3	NM_005338.6	HIP1_HUMAN	O00291-1
XP_011514418.1	XM_011516116.2	HIP1_HUMAN	O00291-1
NP_001230127.1	NM_001243198.2	HIP1_HUMAN	O00291-3
XP_005250361.1	XM_005250304.2	HIP1_HUMAN	O00291-4
NP_000164.5	NM_000173.6	GP1BA_HUMAN	P07359-1
NP_003792.1	NM_003801.3	GPAA1_HUMAN	O43292-1
NP_001154887.1	NM_001161415.1	GPR17_HUMAN	Q13304-1
NP_005282.1	NM_005291.2	GPR17_HUMAN	Q13304-1
XP_016859322.1	XM_017003833.1	GPR17_HUMAN	Q13304-1
NP_001154888.1	NM_001161416.1	GPR17_HUMAN	Q13304-2
NP_001154889.1	NM_001161417.1	GPR17_HUMAN	Q13304-2
NP_001091670.1	NM_001098200.1	GPR18_HUMAN	Q14330-1
NP_005283.1	NM_005292.3	GPR18_HUMAN	Q14330-1
XP_006720009.1	XM_006719946.3	GPR18_HUMAN	Q14330-1
NP_006134.1	NM_006143.2	GPR19_HUMAN	Q15760-1
XP_011518927.1	XM_011520625.2	GPR19_HUMAN	Q15760-1
XP_016874705.1	XM_017019216.1	GPR19_HUMAN	Q15760-1
NP_005284.2	NM_005293.2	GPR20_HUMAN	Q99678-1
NP_005289.2	NM_005298.3	GPR25_HUMAN	O00155-1
NP_703143.1	NM_153442.3	GPR26_HUMAN	Q8NDV2-1
NP_001497.1	NM_001506.2	GPR32_HUMAN	O75388-1
NP_005293.1	NM_005302.3	GPR37_HUMAN	O15354-1
NP_543141.3	NM_080865.3	GPR62_HUMAN	Q9BZJ7-1
NP_057624.3	NM_016540.3	GPR83_HUMAN	Q9NYM4-1
NP_065103.1	NM_020370.2	GPR84_HUMAN	Q9NQS5-1
XP_011536797.1	XM_011538495.2	GPR84_HUMAN	Q9NQS5-1
NP_001139737.1	NM_001146265.1	GPR85_HUMAN	P60893-1
NP_001139738.1	NM_001146266.1	GPR85_HUMAN	P60893-1
NP_001139739.1	NM_001146267.1	GPR85_HUMAN	P60893-1
NP_061843.3	NM_018970.6	GPR85_HUMAN	P60893-1
XP_005250508.1	XM_005250451.2	GPR85_HUMAN	P60893-1
XP_016867841.1	XM_017012352.1	GPR85_HUMAN	P60893-1
NP_001034936.1	NM_001039847.2	GPX4_HUMAN	P36969-1
NP_002076.2	NM_002085.4	GPX4_HUMAN	P36969-1
NP_001500.1	NM_001509.2	GPX5_HUMAN	O75715-1
NP_003987.2	NM_003996.3	GPX5_HUMAN	O75715-2
NP_004122.2	NM_004131.5	GRAB_HUMAN	P10144-1
NP_001290349.1	NM_001303420.1	GT252_HUMAN	Q8IYK4-1
NP_001290350.1	NM_001303421.1	GT252_HUMAN	Q8IYK4-1
NP_055916.1	NM_015101.3	GT252_HUMAN	Q8IYK4-1
NP_001006637.1	NM_001006636.3	GTDC1_HUMAN	Q4AE62-1
NP_001158101.1	NM_001164629.3	GTDC1_HUMAN	Q4AE62-1
XP_016860416.1	XM_017004927.1	GTDC1_HUMAN	Q4AE62-1
XP_016860417.1	XM_017004928.1	GTDC1_HUMAN	Q4AE62-1
XP_016860418.1	XM_017004929.1	GTDC1_HUMAN	Q4AE62-1
XP_016860419.1	XM_017004930.1	GTDC1_HUMAN	Q4AE62-1
XP_016860420.1	XM_017004931.1	GTDC1_HUMAN	Q4AE62-1
XP_016860421.1	XM_017004932.1	GTDC1_HUMAN	Q4AE62-1
XP_016860422.1	XM_017004933.1	GTDC1_HUMAN	Q4AE62-1
XP_016860423.1	XM_017004934.1	GTDC1_HUMAN	Q4AE62-1
XP_016860424.1	XM_017004935.1	GTDC1_HUMAN	Q4AE62-1
XP_016860425.1	XM_017004936.1	GTDC1_HUMAN	Q4AE62-1
NP_001271164.1	NM_001284235.1	GTDC1_HUMAN	Q4AE62-3
NP_078935.2	NM_024659.4	GTDC1_HUMAN	Q4AE62-2
XP_016860433.1	XM_017004944.1	GTDC1_HUMAN	Q4AE62-2
XP_016860434.1	XM_017004945.1	GTDC1_HUMAN	Q4AE62-2
XP_016860435.1	XM_017004946.1	GTDC1_HUMAN	Q4AE62-2
XP_016860436.1	XM_017004947.1	GTDC1_HUMAN	Q4AE62-2
XP_016860437.1	XM_017004948.1	GTDC1_HUMAN	Q4AE62-2
NP_001271167.1	NM_001284238.1	GTDC1_HUMAN	Q4AE62-5
NP_001271162.1	NM_001284233.1	GTDC1_HUMAN	Q4AE62-4
XP_016860431.1	XM_017004942.1	GTDC1_HUMAN	Q4AE62-4
XP_016860432.1	XM_017004943.1	GTDC1_HUMAN	Q4AE62-4
